序号,中文全称,英文全称,金融许可证机构编码,机构类型,简称
112,广东华兴银行股份有限公司,"GUANGDONG HUAXING BANK CO.,LTD",B1194H244050001,城市商业银行,广东华兴银行
113,广东南粤银行股份有限公司,"GUANGDONG NANYUE BANK CO.,LTD.",B0200H244080001,城市商业银行,广东南粤银行
114,珠海华润银行股份有限公司,"CHINA RESOURCES BANK OF ZHUHAI CO.,LTD.",B0199H244040001,城市商业银行,珠海华润银行
115,广西北部湾银行股份有限公司,"GUANGXI BEIBU GULF BANK CO.,LTD",B0349H245010001,城市商业银行,广西北部湾银行
116,桂林银行股份有限公司,"GUILIN BANK CO.,LTD.",B1105H245030001,城市商业银行,桂林银行
117,柳州银行股份有限公司,"BANK OF LIUZHOU CO.,LTD.",B1087H245020001,城市商业银行,柳州银行
118,海南银行股份有限公司,"Bank of Hainan Co.,Ltd.",B0729H246010001,城市商业银行,海南银行
119,重庆三峡银行股份有限公司,"CHONGQING THREE GORGES BANK CO.,LTD",B0205H250000001,城市商业银行,重庆三峡银行
120,重庆银行股份有限公司,"BANK OF CHONGQING CO.,Ltd.",B0206H250000001,城市商业银行,重庆银行
121,成都银行股份有限公司,"BANK OF CHENGDU CO.,LTD.",B0207H251010001,城市商业银行,成都银行
122,达州银行股份有限公司,"BANK OF DAZHOU CO.,LTD.",B1053H251170001,城市商业银行,达州银行
123,长城华西银行股份有限公司,"GREAT WALL WEST CHINA BANK CO.,LTD.",B0211H251060001,城市商业银行,长城华西银行
124,乐山市商业银行股份有限公司,"LESHAN CITY COMMERCIAL BANK CO.,LTD",B0213H251110001,城市商业银行,乐山市商业银行
125,凉山州商业银行股份有限公司,"LIANGSHAN PREFECTURAL COMMERCIAL BANKCO.,LTD",B0266H251340001,城市商业银行,凉山州商业银行
126,泸州市商业银行股份有限公司,"LUZHOU CITY COMMERCIAL BANK CO.,LTD",B0210H251050001,城市商业银行,泸州市商业银行
127,绵阳市商业银行股份有限公司,"MIANYANG CITY COMMERCIAL BANK CO.,LTD",B0212H251070001,城市商业银行,绵阳市商业银行
128,四川天府银行股份有限公司,"SICHUAN TIANFU BANK CO.,LTD",B0214H251130001,城市商业银行,四川天府银行
129,攀枝花市商业银行股份有限公司,"PANZHIHUA CITY COMMERCIAL BANK CO.,LTD",B0209H251040001,城市商业银行,攀枝花市商业银行
130,遂宁银行股份有限公司,"SUINING BANK CO.,LTD.",B0317H251090001,城市商业银行,遂宁银行
131,雅安市商业银行股份有限公司,"YAAN CITY COMMERCIAL BANK CO.,LTD",B0343H251180001,城市商业银行,雅安市商业银行
132,宜宾市商业银行股份有限公司,"YIBIN CITY COMMERCIAL BANK CO.,LTD",B0284H251150001,城市商业银行,宜宾市商业银行
133,自贡银行股份有限公司,"BANK OF ZIGONG CO.,LTD.",B0208H251030001,城市商业银行,自贡银行
134,贵阳银行股份有限公司,"BANK OF GUIYANG CO.,LTD",B0215H252010001,城市商业银行,贵阳银行
135,贵州银行股份有限公司,"Bank of Guizhou Co.,Ltd",B1383H252010001,城市商业银行,贵州银行
136,富滇银行股份有限公司,"FUDIAN BANK CO.,LTD.",B0258H253010001,城市商业银行,富滇银行
137,曲靖市商业银行股份有限公司,"Qujing City Commercial Bank Co.,Ltd",B0259H253030001,城市商业银行,曲靖市商业银行
